Site.Name.new,Site,NAA.2015
Alba,290970004,
Albany,180350010,
Algonquin Parkway,211111041,Louisville
Alhambra,171199991,St. Louis
Allen Park,261630001,Detroit
Alliance,391514005,
Alsip,170310001,Chicago
Alton-Clara Barton Sch,171190008,St. Louis
Alton-HM Sch,171190120,St. Louis
Anderson-ES Elem,180950011,
Appleton,550870009,
Arnold West,290990019,St. Louis
Ashland Primary,210190017,
Avon,180630004,
Bad River,550030010,
Basket,211010014,
Batavia,390250022,Cincinnati
Bates,211110027,Louisville
Bayside,550790085,Milwaukee
Beloit,551050030,
Berea BOE,390350064,Cleveland
Blaine,270031002,
Blair Street,295100085,St. Louis
Bondville,170191001,
Bonne Terre,291860005,
Boonville,181730008,
Bowling Green,391730003,
Braidwood,171971011,Chicago
Brainerd,270353204,
Branson,292130004,
Brewster,391510022,
Bristol,180390007,
Brownstown,180710001,
Buckner,211850004,Louisville
Cadiz,212219991,
Cannons Lane,211110067,Louisville
Canton MU,391510016,
Carrithers MS,211110080,Louisville
Cary,171110001,Chicago
Cassopolis,260270003,
Centerburg,390830002,
Centerburg WTP,390830003,
Charlestown SP,180190008,Louisville
Chicago Com Ed,170310076,Chicago
Chicago SWFP,170310032,Chicago
Chicago Taft HS,170311003,Chicago
Chippewa Lake,391030004,Cleveland
Chiwaukee,550590019,Chicago
Cicero,170314002,Chicago
Colerain,390610010,Cincinnati
Coloma,260210014,Berrien
Columbus,550210015,
Columbus-Maple,390490081,Columbus
Conneaut,390071001,
Cooley Canal,390950035,
Crawford Woods,390170023,Cincinnati
Crockett,211759991,
Dayville,181730011,
Decatur,171150013,
Deer Creek,390479991,
Delaware,390410002,Columbus
Des Plaines,170314007,Chicago
Detroit Lakes,270052013,
Detroit-E 7 Mile,261630019,Detroit
Devils Lake,551110007,
Dexter,261619991,Detroit
District 6,390350034,Cleveland
Duluth UMD,271377550,
East Bend,210150003,Cincinnati
East Bethel,270031001,
East St. Louis,171630010,St. Louis
Eastlake,390850003,Cleveland
Eastwood,391130037,
Eau Claire,550350014,
Ed Spear Park,212270009,
Effingham,170491001,
El Dorado Springs,290390001,
Elgin,170890005,Chicago
Eliza Howell-1,261630093,Detroit
Eliza Howell-2,261630094,Detroit
Elizabethtown,210930006,
Elkhorn,551270006,
Ely,270750005,
Elyria-Sheffield,390930018,Cleveland
Emporia,180950010,
Erie,390950024,
Evans,260810022,
Evanston,170317002,Chicago
Evansville,181630021,
Fairland,181450001,
Fellows Lake,290770042,
Finger Lakes,290190011,
Flint,260490021,
Flora,180150002,
Foley,291130003,
Fond Du Lac,270177417,
Fond Du Lac,550390006,
Fort Wayne - Coliseum,180030015,
Frankfort,260190003,
Franklin,212130004,
Franklin Park,390490037,Columbus
Ft Wayne,180030004,
Gary-IITRI,180890022,Chicago
Grafton,550890008,Milwaukee
Grand Rapids,260810020,
Granger,181410016,
Grayson Lake,210430500,
Green Bay-UW,550090026,
GT Craig,390350060,Cleveland
Hamilton,390170004,Cincinnati
Hammond,180892008,Chicago
Harbor Beach,260630007,
Harrington Beach,550890009,Milwaukee
Hazard,211930003,
Heath,390890005,Columbus
Helmsburg,180130001,
Hillcrest HS,290770036,
Holland,260050003,Allegan
Hope,180050007,
Hopkinsville,210470006,
Horicon,550270001,
Houghton Lake,261130001,
Houston,171570001,
Hoxeyville,261659991,
Indian Creek Elem,180810002,
Indpls I-70E,180970087,
Indpls-E 16th St,180970073,
Indpls-Ft. Harr,180970050,
Indpls-Harding St,180970057,
Indpls-Wash Park,180970078,
Inglefield,181630013,
Ironton-ODOT,390870012,
Jackson Purchase,211451024,
Jefferson,550550009,
Jenison,261390005,
Jerseyville,170830117,
Kalamazoo,260770008,
Kenosha WT,550590025,Chicago
Kewaunee,550610002,
Kinsman,391550013,
Knight Prairie,170650002,
Kokomo,180670004,
Lacrosse Dot,550630012,
Lake Dubay,550730012,
Lake Rockwell,391331001,Cleveland
Lansing,260650012,
Lansing Filley,260650018,
Laporte,180910010,
Lebanon,391650007,Cincinnati
Lemont,170311601,Chicago
Leo HS,180030002,
Leopold,181230009,
Lewisport,210910012,
Lexington Prim,210670012,
Liberty,290470005,
Lima,390030009,
Lisle,170436001,Chicago
London,390970007,
Loves Park,172012001,
LOW SER,390950034,
Lynnville,181730009,
Mackville,212299991,
Madison East,550250041,
Mammoth Cave,210610501,
Manistee,261010922,
Manitowoc,550710007,Manitowoc
Marietta,391670004,
Marine St. Croix,271636016,
Marshall,270834210,
Maryland Heights,291890014,St. Louis
Maryville,171191009,St. Louis
Maryville,171190122,St. Louis
Mayfield,390355002,Cleveland
Miami East,391090005,
Michigan City,180910005,
Middlesvoro,210130002,
Middletown,390170018,Cincinnati
Mille Lacs,270953051,
Milw-16th St,550790010,Milwaukee
Milw-SER DNR,550790026,Milwaukee
Milw-UWM UPark,550790068,Milwaukee
Minneapolis-NR,270530962,
Monrovia,181090005,
MTSP,291370001,
Mud Run,390230003,
Muskegon,261210039,Muskegon
N Kentucky Univ,210373002,Cincinnati
N of Easterday,260330901,
Nature Center,210150008,Cincinnati
New Albany,180431004,Louisville
New Albany,390490029,Columbus
New Albany,180430008,Louisville
New Bloomfield,290270002,
New Haven,260990009,Detroit
Newport,550290004,Door
Nicholasville,211130001,
Nilwood,171170002,
Noblesville,180570006,
Normal,171132003,
North HS,391530026,Cleveland
Northbrook,170314201,Chicago
Notre Dame,390550004,Cleveland
Oak Park,261250001,Detroit
Ogden Dunes,181270024,Chicago
Orchard Farm,291831004,St. Louis
Otisville,260492001,
Owensboro Prim,210590005,
Oxford,390179991,Cincinnati
Pacific,291890005,St. Louis
Painesville,390850007,Cleveland
Patterson Park,391530020,Cleveland
Peoria,171430024,
Peoria Heights,171431001,
Perkinstown,551199991,
Pikeville Primary,211950002,
Plummer,180550001,
Port Huron,261470005,Detroit
Potato Creek SP,181410010,
Potawatomi ,550410007,
Preble County,391351001,
Quaker City,391219991,
Quincy,170010007,
Racine-P&D,551010020,Milwaukee
Reynoldsburg,390890008,Columbus
Richard Gebaur S,290370003,
Roanoke,180690002,
Rochester,271095008,
Rock Island,171613002,
Rocky Creek,290470006,
Rose Lake 2,260370002,
Salamonie Reserv,181699991,
Sandcut,181670024,
Savannah,290030001,
Schiller Park,170313103,Chicago
Scottville,261050007,
Seney,261530001,
Shakopee,271390505,
Sheboygan KA,551170006,Sheboygan
Sheboygan-Haven,551170009,
Shepherdsville,210290006,Louisville
Smithland,211390003,
Somerset,211990003,
South Bend,181410015,
Springfield,171670014,
Springfield,390230001,
St. Cloud,271453052,
St. Michael,271713201,
St. Philips,181290003,
Stanton,270495302,
Steubenville,390810017,
Stockton,170859991,
Sycamore,390610006,Cincinnati
Taft,390610040,Cincinnati
Tecumseh,260910007,
Terre Haute,181670018,
Thomasboro,170190007,
Trimble,290490001,
Trinity St Marks,261630099,Detroit
Trout Lake,551250001,
Trumbull CSE,391550011,
Unionville,261579991,
Valparaiso,181270026,Chicago
Vincennes,180839991,
Voyageurs,271370034,
Warren,260991003,Detroit
Waterville,390950027,
Watkins Mill SP,290470003,
Watson Ln,211110051,Louisville
Waukesha,551330027,Milwaukee
West Alton,291831002,St. Louis
West Union,170230001,
Whitestown,180110001,
Wilgus,390870011,
Wilmington,390271002,
Wood River,171193007,St. Louis
Worthington,210890007,
Xenia,390570006,
Youngst-Oakhill,390990013,
Youngtown State,390990015,
Ypsilanti,261610008,Detroit
Zion,170971007,Chicago
,291570001,
Red Lake Nation DNR,270072305,
