cat,Latitude,Longitude,Monitor_Type,Networks,PQAO,Monitoring_Objective,Measurement_Scale,Local_Site_Name,Address,State_Name,County_Name,CBSA_Name,site
VOCs,41.965193,-87.876265,OTHER,,Eastern Research Group,POPULATION EXPOSURE,,IEPA TRAILER,4743 MANNHEIM RD.,Illinois,Cook,"Chicago-Naperville-Elgin, IL-IN-WI",170313103
VOCs,39.810833,-86.114444,SPM,,Indiana Depart Of Environ Management/,MAX PRECURSOR EMISSIONS IMPACT,MIDDLE SCALE,Indpls- Washington Park/  in parking lot nex,"3120 E. 30TH ST., WASHINGTON PARK",Indiana,Marion,"Indianapolis-Carmel-Anderson, IN",180970078
VOCs,39.479822,-84.409617,INDUSTRIAL,,South West Ohio PQAO,SOURCE ORIENTED,NEIGHBORHOOD,Amanda Elem,1200 OXFORD STATE ROAD,Ohio,Butler,"Cincinnati, OH-KY-IN",390170019
VOCs,39.472436,-84.394952,INDUSTRIAL,,South West Ohio PQAO,SOURCE ORIENTED,NEIGHBORHOOD,Yankee,3350 YANKEE ROAD,Ohio,Butler,"Cincinnati, OH-KY-IN",390170020
VOCs,41.477011,-81.682383,SPM,,North East Ohio PQAO,POPULATION EXPOSURE,NEIGHBORHOOD,St Theodosius,2547 ST TIKHON,Ohio,Cuyahoga,"Cleveland-Elyria, OH",390350038
VOCs,40.002707,-82.994424,SPM,,Central Ohio PQAO,POPULATION EXPOSURE,NEIGHBORHOOD,Fairgrounds,KORBEL AVE.,Ohio,Franklin,"Columbus, OH",390490034
VOCs,40.36644,-80.61558,SPM,,Central Ohio PQAO,POPULATION EXPOSURE,NEIGHBORHOOD,Stuebenville,618 LOGAN ST.,Ohio,Jefferson,"Weirton-Steubenville, WV-OH",390810017
VOCs,43.016667,-87.933333,SPM,,"Wisconsin Dept Of Natural Resources,",POPULATION EXPOSURE,NEIGHBORHOOD,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,"HEALTH CENTER, 1337 SO 16TH ST",Wisconsin,Milwaukee,"Milwaukee-Waukesha-West Allis, WI",550790010
VOCs,39.131635,-84.707205,,,South West Ohio PQAO,POPULATION EXPOSURE,NEIGHBORHOOD,Kibby,7529 Gracely Dr.,Ohio,Hamilton,"Cincinnati, OH-KY-IN",390610047
VOCs,40.332933,-80.933401,,,Central Ohio PQAO,SOURCE ORIENTED,MICRO,Hopedale,46700 Jewett Hopedale Rd.,Ohio,Harrison,,390670005
VOCs,38.276557,-85.763791,OTHER,,,POPULATION EXPOSURE,NEIGHBORHOOD,Clarksville,,Indiana,Clark,"Louisville-Jefferson County, KY-IN",180190009
VOCs,41.636111,-87.440833,OTHER,,,POPULATION EXPOSURE,NEIGHBORHOOD,East Chicago - Franklin Sch.,,Indiana,Lake,"Chicago-Naperville-Elgin, IL-IN-WI",180890006
VOCs,41.606563,-87.305015,OTHER,,,POPULATION EXPOSURE,MIDDLE,Gary - IITRI,,Indiana,Lake,"Chicago-Naperville-Elgin, IL-IN-WI",180890022
VOCs,41.653501,-87.435561,OTHER,,,POPULATION EXPOSURE,NEIGHBORHOOD,East Chicago - Marina,,Indiana,Lake,"Chicago-Naperville-Elgin, IL-IN-WI",180890034
VOCs,41.681393,-87.490233,OTHER,,,POPULATION EXPOSURE,NEIGHBORHOOD,Whiting - Center St.,,Indiana,Lake,"Chicago-Naperville-Elgin, IL-IN-WI",180890035
VOCs,41.639444,-87.493611,OTHER,,,POPULATION EXPOSURE,NEIGHBORHOOD,Hammond - 141st St.,,Indiana,Lake,"Chicago-Naperville-Elgin, IL-IN-WI",180892008
VOCs,39.787933,-86.13088,SLAMS (NEAR ROAD),,,SOURCE ORIENTED,MIDDLE,Indianapolis I-70E,,Indiana,Marion,"Indianapolis-Carmel-Anderson, IN",180970087
